"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"332","Normal/Others","WS/MP18226/2024-2025/169839-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Rani Farm Gurudwara intersection in village Ludhauri.","29-Jan-2025","166033","12-Mar-2025"
"333","Normal/Others","WS/MP18226/2024-2025/169840-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the Shiv Mandir intersection in village Chudatanda of G.P. Ludhauri.","29-Jan-2025","166033","12-Mar-2025"
"334","Normal/Others","WS/MP18226/2024-2025/169841-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Dhakherwa Khalsa Masjid intersection.","29-Jan-2025","166033","12-Mar-2025"
"335","Normal/Others","WS/MP18226/2024-2025/169851-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Bajranggarh Farm Gurudwara intersection of village Dhakherwa Khalsa.","29-Jan-2025","166033","12-Mar-2025"
"336","Normal/Others","WS/MP18226/2024-2025/169852-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in Nagar panchayt Nighasan.","29-Jan-2025","166033","12-Mar-2025"
"337","Normal/Others","WS/MP18226/2024-2025/169853-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way at the intersection near Arif house in Mo. Atal Nagar (Buddhipurwa) of Nagar Panchayat Nighasan.","29-Jan-2025","166033","12-Mar-2025"
"338","Normal/Others","WS/MP18226/2024-2025/169854-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in Nagar Panchayat Nighasan.","29-Jan-2025","166033","12-Mar-2025"
"339","Normal/Others","WS/MP18226/2024-2025/169855-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shani Maharaj Mandir intersection in Mo. Patelnagar Chaudharypurwa Nagar Panchayt Nighasan.","29-Jan-2025","166033","12-Mar-2025"
"340","Normal/Others","WS/MP18226/2024-2025/169856-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Devhara Baba Mandir intersection in Gram Panchayat Ludhauri village Jokhipurwa.","29-Jan-2025","166033","12-Mar-2025"
"341","Normal/Others","WS/MP18226/2024-2025/169880-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Bamhanpur.","29-Jan-2025","166033","12-Mar-2025"
"342","Normal/Others","WS/MP18226/2024-2025/169881-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Dharmapur.","29-Jan-2025","166033","12-Mar-2025"
"343","Normal/Others","WS/MP18226/2024-2025/169882-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Dwarikapurva Masjid intersection of Gram Panchayat Gangabehar.","29-Jan-2025","166033","12-Mar-2025"
"344","Normal/Others","WS/MP18226/2024-2025/169883-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Sahankheda.","29-Jan-2025","166033","12-Mar-2025"
"345","Normal/Others","WS/MP18226/2024-2025/169884-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Khamaria Koilar.","29-Jan-2025","166033","12-Mar-2025"
"346","Normal/Others","WS/MP18226/2024-2025/169885-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection at Gurudwara Kaudiyala Ghat in village Barsola Kalan","29-Jan-2025","166033","12-Mar-2025"
"347","Normal/Others","WS/MP18226/2024-2025/169886-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara Charahe in village Ganganagar.","29-Jan-2025","166033","12-Mar-2025"
"348","Normal/Others","WS/MP18226/2024-2025/169887-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Binaura.","29-Jan-2025","166033","12-Mar-2025"
"349","Normal/Others","WS/MP18226/2024-2025/169888-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Sidhauna intersection in village Sindhauna.","29-Jan-2025","166033","12-Mar-2025"
"350","Normal/Others","WS/MP18226/2024-2025/169889-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Durga Mandir intersection in Gram Panchayat Barautha village Kurminpurwa.","29-Jan-2025","166033","12-Mar-2025"
"351","Normal/Others","WS/MP18226/2024-2025/169918-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Syed Farm intersection in village Boudhiya Kalan.","29-Jan-2025","166033","12-Mar-2025"
"352","Normal/Others","WS/MP18226/2024-2025/169919-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Kadiya intersection in Gram Panchayat Bhedauri village Belrayon.","29-Jan-2025","166033","12-Mar-2025"
"353","Normal/Others","WS/MP18226/2024-2025/169920-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection in village Belaparsua.","29-Jan-2025","166033","12-Mar-2025"
"354","Normal/Others","WS/MP18226/2024-2025/169921-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Majha.","29-Jan-2025","166033","12-Mar-2025"
"355","Normal/Others","WS/MP18226/2024-2025/169922-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the temple intersection near the house of Rajesh Chaturvedi in Atal Nagar of Nagar Panchayat Nighasan.","29-Jan-2025","166033","12-Mar-2025"
"356","Normal/Others","WS/MP18226/2024-2025/169923-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Lalpur of Gram Panchayat Lalpur.","29-Jan-2025","166033","12-Mar-2025"
"357","Normal/Others","WS/MP18226/2024-2025/169924-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Devi Mandir intersection in village Pachpedi of Gram Panchayat Mudabujurg.","29-Jan-2025","166033","12-Mar-2025"
"358","Normal/Others","WS/MP18226/2024-2025/169925-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Tara Nagar Mandir intersection of Gram Panchayat Mudabujurg.","29-Jan-2025","166033","12-Mar-2025"
"359","Normal/Others","WS/MP18226/2024-2025/169926-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Harisinghpur Masjid intersection of Gram Panchayat Harisinghpur.","29-Jan-2025","166033","12-Mar-2025"
"360","Normal/Others","WS/MP18226/2024-2025/169927-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Tikona Baba intersection in village Adalabad.","29-Jan-2025","166033","12-Mar-2025"
"Grand Total"," "," "," "," "," "," "," "," "," ","9,68,98,322"
